imdbId,tvdbId,tmdbId,tvmazeId
tt40374606,473509,313138,90370
tt40756634,,316760,90999
tt34691485,,317675,
tt36968329,465021,252091,
tt2464864,,322017,
tt2034429,,322023,
tt35674465,478706,297171,
tt28300326,460876,325296,
tt14361280,340451,320458,92416
tt43678299,,328662,
tt1704292,204781,33240,870
tt0071076,122131,70702,
tt0991005,80863,17088,7389
tt1215482,215561,39996,23676
tt0205214,212131,56299,34530
tt0110437,176111,75647,45071
tt0070904,271238,86449,
tt0120756,127391,31010,27628
tt0090649,,48001,
tt0495039,462198,42822,55504
tt0083090,,15895,
tt0062542,264853,77441,
tt0092679,,47756,
tt0062610,199951,62448,
tt0052443,216131,208197,
tt0106112,80306,5742,8426
tt0974962,256889,6416,
tt0082373,266121,40987,
tt0108915,160551,15724,9916
tt1020027,,3405,
tt0318641,,41917,
tt0106051,290020,300375,
tt0837800,,20786,
tt0093808,258227,46381,40580
tt0159931,81759,15795,5069
tt0783612,128631,16468,29782
tt0094292,152641,89272,71255
tt0136683,,90362,
tt0111939,,153659,
tt0106578,,43382,
tt1415244,106491,31762,24518
tt1327340,261342,73046,
tt1168348,361671,77180,50481
tt0406032,85109,15717,15423
tt1834254,,102269,24067
tt0249326,,31684,44836
tt0219695,,56502,
tt0268082,318160,100040,
tt0874679,155801,20409,
tt0095344,,48828,
tt0087797,,48320,
tt0104930,,47294,
tt0280343,,326015,
tt1667060,328051,77170,
tt0136972,,48939,
tt1327890,294760,44672,61796
tt0080777,,49518,
tt1718987,248776,33816,
tt0373570,,79637,
tt2177341,269180,98077,49539
tt0056793,271031,54471,40066
tt1242832,176131,130041,
tt0263782,399531,74886,44028
tt0468461,,21474,
tt0107619,294192,47217,28755
tt0416376,300904,21087,
tt0099148,414258,29289,28862
tt0219636,,56525,
tt0444626,,46977,
tt1282045,,19173,
tt0089202,,48751,
tt0970495,108541,31747,
tt0095242,271408,17364,79105
tt0089018,255447,62159,
tt0073673,,44467,
tt0811064,,47740,
tt1100911,263395,28599,
tt0086713,259743,77053,28053
tt0437020,85504,8693,51147
tt0093486,,17143,
tt0144730,81206,13931,
tt0156143,,17781,
tt0091567,,47246,
tt0257882,,43496,
tt0156205,348088,47096,
tt0269356,,8762,
tt0306943,,5868,
tt0081033,300892,30217,57592
tt0089500,375823,48065,24242
tt2665148,267211,61560,
